场号,群号,,标识,,,备注/留言,,,,,,,,如果你的场有图片之类的资源请放在这里,,,,,,,,,,,
62,1083965037,,62,,,,,,,,,,,,,,,,,,,,,,
63,874094701,,jjc63,,,63新群,,,,,,,,,,,,,,,,,,,
64,482795856,,64,,,,,,,,,,,,,,,,,,,,,,
65,1080268211,,65,,,休闲ing（刚刚那个群号搜不到，如果有别的65群请在这留言）,,,,,,,,,,,,,,,,,,,
66,1094827669,,66,,,,,,,,,,,,,,,,,,,,,,
67,1026803781,,67,,,,,,,,,,,,,,,,,,,,,,
68,482712372,,68,,,欢迎大家 新建的,,,,,,,,,,,,,,,,,,,
69,1101179151,,j69,,,来点人,,,,,,,,,,,,,,,,,,,
70,839948219,,j70,,,新建群，欢迎加群,,,,,,,,,,,,,,,,,,,
71,627809503,,71,,,点击链接加入群聊【公主连结4月30日j场71交流群】：https://qm.qq.com/q/nwSmxVPO9O,,,,,,,,,,,,,,,,,,,
72,1101174941,,72,,,点击链接加入群聊【公主连结430重置竞技场72号群】：https://qm.qq.com/q/JZ8heaM56m,,,,,,,,,,,,,,,,,,,
73,1094053425,,73,,,,,,,,,,,,,,,,,,,,,,
74,627049688,,74,,,,,,,,,,,,,,,,,,,,,,
75,1094104263,,JJC75,,,,,,,,,,,,,,,,,,,,,,
76,1101172634,,jjc76,,,,,,,,,,,,,,,,,,,,,,
77,1021784866,,77喵，大家和平相处,,,,,,,,,,,,,,,,,,,,,,
78,1037082121,,78,,,78场速进,,,,,,,,,,,,,,,,,,,
79,946012742,,79场 群头像华哥，欢迎,,,,,,,,,,,,,,,,,,,,,,
80,1103594950,,                   2026 4.30 JJC 80场群,,,,,,,,,,,,,,,,,,,,,,
81,782290645,,老群新用81场,,,,,,,,,,,,,,,,,,,,,,
82,531386356,,来个人82,,,,,,,,,,,,,,,,,,,,,,
83,1087630610,,4.30 83场,,,🤺摸了,,,,,,,,,,,,,,,,,,,
84,713245459,,84快来快来,,,84场的兄弟们欢迎欢迎,,,,,,,,,,,,,,,,,,,
85,112613225,,85来人来人,,,85场的兄弟们欢迎欢迎,,,,,,,,,,,,,,,,,,,
86,1101180216,,等人建群喵 +3喵,,,怎么没人建群  没人建群我建了,,,,,,,,,,,,,,,,,,,
87,1055258954,,公主连结竞技场87,,,大家要在一起一休尼了,,,,,,,,,,,,,,,,,,,
88,774017713,,来个大佬建群,,,,,,,,,,,,,,,,,,,,,,
89,1095253653,,89场竞技场,,,欢迎各位美女靓仔进来交流,,,,,,,,,,,,,,,,,,,
90,1103603346,,90场,,,,,,,,,,,,,,,,,,,,,,
91,729495990,,91场（2026年）,,,上1自愿下防帮助他人节省时间,,,,,,,,,,,,,,,,,,,
92,916270595,,92场有人吗，你们都不建群，我建了一个,,,,,,,,,,,,,,,,,,,,,,
93,1103606704,,93速来养老,,,建了一个，来一起养老了,,,,,,,,,,,,,,,,,,,
94,690686127,,2026 JJC 94号场,,,,,,,,,,,,,,,,,,,,,,
95,1081812526,,BCR JJC 95场,,,,,,,,,,,,,,,,,,,,,,
96,1103587619,,jjc96场,,,璃，有bot，来玩喵  点击链接加入群聊【26.4.30 jjc】：https://qm.qq.com/q/Nh07CfVYkg,,,,,,,,,,,,,,,,,,,
